	机器人	计算机	图像	控制系统	计算机视觉	神经网络	软件	移动机器人	自动化	智能机器人	科技	机器	机械	路径规划	机器学习	工业	传感器	设备	信息技术	互联网	遗传算法	人机交互	控制器	模式识别	智慧城市	产品	企业	动力学	语言	用户	科学技术	工程	专家系统	硬件	AI	法律	虚拟现实	Matlab	装置	特征提取	深度学习	运动轨迹	控制算法	学科	文化	障碍物	数据挖掘	工具	视频	控制策略	新技术	汽车	教师	物联网	图书馆	数字	图像处理	应用领域	工艺	工作空间	工业机器人	课程	患者	专业委员会	智能控制	数字化	粒子	会议	数据库	哲学	自然语言处理	语音	信号	治疗	难题	摄像机	人工神经网络	新媒体	论坛	控制技术	物理	艺术	知识工程	文献	地图	智能系统	生态	传统媒体	工件	模糊控制	装备	制造业	末端执行器	智能制造	金融	认知科学	无线通信	电子	农业	机器人运动学
科技	0.433851791	0.64481691	0	0.099855005	0	0	0.311879633	0.368015627	1.303383973	1.352932283	0	1.472617824	0.703368421	0	0.737600058	1.19941813	0.166578442	1.236781206	3.419932432	2.012990456	0.229296769	1.199881657	0	0	0	2.933795712	3.116175979	0	0.586884395	0.538981882	5.288381743	1.66560118	0.418799213	0.638810465	3.352205398	4.897624996	2.001176471	0	0	0	0.371828521	0.301195903	0	2.233953998	2.396370968	0	1.466580608	1.995298266	0	0	2.083673469	3.895403668	0.928717459	3.481951843	0	2.083673469	0	1.208306295	0	0	0.575815523	1.50308642	0.557971014	2.033333333	1.078577075	0.467954587	0	2.399812515	0.423249068	2.203940993	0.650622301	1.139787341	0	1.145777179	2.037450199	0	0.592867068	0.761773882	1.327933649	2.103858785	1.484610918	4.047797748	0	0.907669761	1.036789298	1.350197628	4.54106816	0.761773882	0	0	1.792717087	2.866009646	0	1.932241671	17.70019724	2.394257703	0.939846182	2.067998386	2.26560425	0
机器	0.698657065	1.967265031	1.186949807	1.044924663	0.200241546	1.169045329	0.676698245	0.337236138	2.342568493	1.720934931	1.471027217	0	1.176638623	0.465577812	2.454475952	1.097622495	0.306600901	1.131814536	0.798816335	1.00772416	0.635360502	1.098792726	0.398708255	1.938133874	0	0.471571906	0.249539527	0.417160738	1.63766638	1.761138215	1.667320774	0.75406308	0.770833333	0.881558442	3.705069124	2.447674574	1.460712752	0.888698182	0.51147343	0.576313406	2.439524395	0	0	1.697968698	2.19298893	0.284862732	0.89270124	0.903325942	0.301414452	0.647978642	1.52092954	3.10662036	0.851324338	1.5694199	0	1.52092954	2.151698876	0.551807748	1.238545455	0.400878983	0	0.4558096	0.77	0	1.991824818	2.621922025	0.754954156	1.091219096	0	4.627047121	3.026704478	3.180509528	0.779023646	0.697429587	0.461552347	1.412520138	2.758026287	0.698521899	0.606439013	0	2.284016796	2.452315424	0	0.414513447	0	3.767647059	0.506156966	0	0.506156966	0	1.091219096	1.961913876	0	0	0	3.683473389	0	2.535939626	0.513237064	0
机械	4.070459485	0.875108664	0.711208791	2.546109866	0.293971631	0.748414097	2.083923003	0.440047156	1.899355084	1.051807517	0.703991597	1.176493588	0	0.454020916	0.327098259	3.207069501	1.379704056	2.434299517	0.19267225	0	1.252502781	1.956328788	3.490184945	0	0	0.459907584	0.735345202	5.779045279	0.789796552	0.240074676	0.643361938	1.234329446	0	1.443027211	0.580417189	0	0.707129495	1.454714286	4.19826518	0.280039613	0	3.656429677	2.102311593	0.655187922	0.298943662	0.839435923	0	0	0.59004808	0.951287794	0.366843921	0.423487987	0	0.378539659	0	0	0.413671685	1.080217288	1.207801418	7.043802726	3.1453149	0	3.646371464	0.601408451	1.451489362	0	1.108336952	0.530240265	0.378539659	0.977366059	0.581894593	0	0.378539659	1.02388599	0.450176056	0.455919059	0.530240265	0	0.591491572	3.155788177	2.226916376	1.187163297	1.367424495	0	0	0	0	0	1.491547654	0	4.349118709	0.63324685	4.528398334	0	0	0.708160729	0.840566656	6.316795069	3.579736211	3.663571429
路径规划	4.372645495	0.084717966	0.422086957	0.548986393	0.117588652	1.634206008	0.919224182	16.46033533	0.272930832	1.089698719	0	0.464538241	0.452812288	0	0.395593194	0.180824131	1.677525636	0.186456984	0	0	7.840185676	0.25529397	1.681887222	0	0	0	0	0.492035742	0.315918621	0	0.387386018	0	0	0.343870314	0	0	0	4.749022422	0.603276353	0	0	2.338542864	0.355284269	0	0	21.75273413	0	0.352361183	0	0.380515118	0	1.548548346	0	0	0	0.443334781	0	0.650428708	2.457431457	1.429744355	0	0	0	0	0	0	8.602321663	0	0	0	0.703225806	0	0	0	1.092735043	0	0.640801001	0	0	0.752017608	1.60567361	0	0	0.488596701	5.199932226	0	0	0	3.034750637	8.079283154	0	0	0.765285554	0	0	0	0	0	0	0
机器学习	0.139527945	2.578850014	1.4562	0	0.916745656	5.823334409	0.869124286	0	2.191474034	0.780781014	0.7368884	2.476019185	0.325633528	0.395166353	0	0.195823368	0	0.61140546	1.815319585	2.096066253	0.539272031	1.697945741	0	10.86953431	0	2.158950055	1.292008392	0	1.387679924	0.951365694	1.701602136	3.323194662	10.15640704	0.372394119	3.948511166	1.367444362	1.870258384	0	0.325268817	2.250884434	16.84684685	0	0.384754854	3.531774892	0.39124424	0	11.76212387	3.154471545	1.560594454	0.412078584	1.453725676	0.554242342	0.541395201	4.095438596	1.482060185	0.964663643	0	2.132801111	0	0	0	0.581839904	0	4.833962264	7.250434783	0	0	4.995818233	2.523597727	1.92972973	12.21118703	7.66190379	2.009444171	0.891160028	0.589170507	0	2.10123119	1.791579315	0.774118003	0	0.574688097	1.555403764	0.891661595	2.146172425	0	8.211538462	0.6461082	0.891661595	0	0.761557901	1.394335512	1.665204678	0	0	0.908897554	3.759208356	0	0	0.655145929	0
工业	4.846493031	0.605917629	0.638684211	1.234490641	0.354273504	0.444872757	1.2751185	0.396324522	4.984648952	1.271315172	1.199846547	1.098060682	3.241329129	0.180838839	0.196120355	0	0.7263678	3.172299823	2.159957326	1.674574669	0.74668435	1.292975923	1.674574669	0.747762289	0	2.273429627	2.728517723	0.988294967	0.951806101	1.770940469	1.56284488	0	0.450741525	2.09894867	0.348004374	0	1.717748043	1.044410256	0.90491453	0	0.803782506	0.324168472	1.070407734	0.392835131	0.359745763	0.334351596	0	2.150776053	0.353778827	1.535125367	0.441456244	4.74752322	0	1.378272605	0	2.24533779	0.497808299	3.294197118	3.966229985	0.945050879	2.510852238	0	0	0.723728814	1.749230769	0.503646039	0	2.585205756	0	0	0.700246036	0.610945333	0	0.407818996	0.541737288	1.101966065	0	0	1.429647715	2.265694076	1.061338869	0	0	0	0	0.723728814	1.193238123	0	4.267123288	0.700246036	6.633842964	10.43726504	1.530571109	5.267857143	0	0	0	7.65250504	1.209929078	1.746042553
传感器	2.984495314	0.78243886	1.899061033	1.951013181	1.211988304	1.375956006	1.149030227	5.509303252	0.685255522	2.809761271	0.166344006	0.305755396	1.38216502	1.677299978	0	0.726387537	0	2.738586957	0.69853939	0	0.493571011	1.551571108	1.913799622	1.885452124	0	0	0	0.487865948	0	0.577806848	0.384116938	1.181580324	0.448839662	4.290771176	0.346536001	0	0.847956132	1.392547009	3.420337739	1.359508547	0.398499766	1.641711575	1.427210312	0.391177599	0	4.931686047	0	0	1.427210312	1.528565002	0	2.055907491	0	3.739313501	0	0.882912487	1.499779897	1.295345307	0	0.468537883	1.867112462	0	0	0	0	0	3.157081014	0	0.453608705	0	0	0.608367505	5.708244061	0.406098241	0	0.546333387	0.635393398	0	0	1.497662186	2.13174901	0	0	0	3.974358974	0	0.591584301	0	1.188182029	4.273915462	1.276171486	0.758827448	0	1.031344183	0	0	9.382045293	4.492548217	3.676724138	0
设备	1.57629734	1.792728531	1.711346154	1.519452662	1.655453149	0.342473632	1.82775971	0.408545983	3.72033872	1.118887078	1.237509892	1.132528954	2.453610771	0.186366664	0.611688154	3.177096889	2.742374728	0	1.465685328	0.727159548	0	3.302426578	0.240269603	1.555080867	3.458179375	1.743131868	0.301844755	0.504984051	0.651235754	2.140217293	1.203115167	1.536054422	1.405837004	5.237654321	1.085405713	0.319468443	1.770952629	0	2.215620329	0.347298035	1.248164464	1.0110629	0.732384239	0.81323764	0	0	0.537959699	1.094337595	1.855373406	0	1.843958822	3.221533613	0.513025147	2.879605263	0.698962882	0.913891873	2.079340861	0.667470508	6.249541284	0	2.588621997	0	1.568518519	0	1.196842105	1.570843151	0.913891873	0	1.420774403	0	0.721650937	1.264764023	1.90274802	1.271964093	0.558296943	0.565419269	0.657590547	0	0	1.550211736	2.771273713	0.733552867	0.84493697	0.501398361	0	1.498245614	1.852935852	0	0.612251002	0	6.132552569	0	3.183046111	3.230333543	0.861269735	0	7.493482115	3.074546273	1.247076023	1.799649123
信息技术	0.237152519	1.88484943	0.266703297	0.560512074	0.302003643	0.427151178	0.878141537	0.168007134	0.887025204	1.16032734	3.478546713	0.797328988	0.191132723	0	1.820173178	2.172971807	0.697432819	1.468739373	0	6.669301713	0.316529235	1.666502301	0	2.945097284	8.654897016	1.438164046	2.316953597	0	2.062246553	0.370550044	0	1.139381027	1.753434066	1.332025118	1.815006238	1.205905605	3.934897555	0	0	0	0.513285024	0	0	4.190241397	0.461413043	0	2.030650073	1.829942056	0.4537598	0	2.89399093	0.653644501	7.427070947	8.125397797	3.537292818	3.492190172	0	3.377917045	0	0	0	8.757867694	0	6.716853933	0.741521739	6.078091966	0	2.482223659	2.375806921	2.27962578	0	0.783603797	0	0.52307219	0.694836957	0	0	0	1.83588641	0	3.464092141	1.83588641	0	1.254865844	0	2.815384615	3.894596651	3.189404935	0	0	1.645773063	7.072442342	0	4.029042386	3.251056636	3.31512605	1.29739636	3.83893623	3.949074074	0
互联网	0.11315563	1.023877137	0.088415301	0.138596565	0	0.284767452	0.143157864	0	0.529274707	0.459030596	2.027495798	1.007797114	0	0	2.10383653	1.680540657	0	0.726255104	6.673038893	0	0	0	0	3.474771089	0	2.193604149	2.32997019	0	0.405687847	2.696431957	1.000392465	0.759587351	1.763121547	0	2.768394346	2.466009215	2.794939205	0	0	0	2.098765432	0	0	3.125025536	4.366285714	0	2.041869134	0.909943715	1.383842043	0	5.987567441	0	3.960092987	12.37939394	4.471019553	4.735621521	0	0.83524998	0	0	0	0.689941307	0.385701275	1.876923077	2.261436464	6.831061214	0	0.822886532	0.587460454	2.292220397	4.616147054	1.584429655	0.587460454	0	2.841111111	0	0	3.207025956	4.692279513	0	0.681460749	0	0	0.627432922	0	0	5.54484947	8.795025729	0	0	0.822886532	5.023522493	0	6.827613727	4.382905983	3.333441664	0	3.860263653	0.776867031	0
遗传算法	1.480936403	0.46844052	0.478698225	0.750389685	0.650196078	6.525067153	1.597432267	4.243003703	1.140460977	0.485718421	0.227881673	0.63296731	1.256015038	8.184815417	0.53819074	0.745502998	0.491987493	0	0.316294329	0	0	0.697605614	3.354984093	0	0	1.141700405	0.803749407	0.669397463	0.429138011	0	0	0.399551728	1.86622807	1.417710944	0.474734291	0	0.578374702	1.429192982	0.407996146	1.395285088	0.545921644	3.686928164	1.464768479	0.535890699	0	5.325010701	4.399741824	0	0	1.039779682	0	0	0.67909109	0.621417706	0	0	0.67909109	0	0.656262042	1.948131198	1.700664452	0	0	0	3.210352941	0	5.020899926	0	0.621417706	0	0	1.676547658	0.621417706	0	0.739017341	0	5.378151261	0	0	2.054931836	0	0.971003506	2.249890303	2.014389907	3.085972851	0.987283237	0.810436297	0	0	3.888425047	0	0	2.091187271	0	0	0	1.37988977	1.004114823	1.653100775	1.185895954
人机交互	1.713877678	3.785461246	1.348333333	4.198042155	1.737945493	1.119733746	2.002386434	1.335760425	1.175444442	1.012649315	1.201936872	1.09997368	1.978223684	0.254035513	1.70372038	1.295538747	1.557457339	3.349099972	1.668259723	0	0.697501549	0	0.658942984	2.678721615	0	0.779364348	0.411443149	0.342667749	3.207939083	3.835192953	0.541879252	0	0.633184524	5.082359988	0	0.876146987	4.971867008	0.975616766	1.27560241	1.928030303	3.476482618	1.854636591	2.545481807	1.110288514	0	0	0.733290304	3.577988558	6.381539104	0	1.247708664	0.715896359	0	0	0.952752976	1.882837472	0	2.762362884	0	0.660973085	1.751582549	0	0	0	1.634011976	0.707502769	0	0	2.606188198	0	0.983678955	4.395826177	0.639912281	0	1.531137725	1.55067081	0.896358543	0	0	1.051929392	0	0.99990242	1.15172956	0	0.780677656	2.045508982	0.834556425	0	0.834556425	1.979138497	0.896358543	0	2.153797668	0	0	2.408594576	5.787174066	2.08038161	1.70259481	0
控制器	3.753364867	0.108790831	0.929885057	5.748985507	0.151001821	4.651201714	1.190813145	3.146864166	0.35091107	0.928261872	0	0.39647403	3.58001891	1.687829168	0	1.680540657	1.923223835	0.239439297	0	0	3.347205707	0.659275636	0	0	0	0.355611602	0.3777183	9.473245109	0.405687847	0	0	0	0	5.637873754	0	0	0	2.745977528	0	0	0	2.578778407	10.18192723	0	0	2.204105496	0	0.452485672	0.456239362	10.2969697	0	0.657216329	0	0	0.87465847	1.144875533	0.641982288	0	0	0	0.79921936	0	1.169889503	0	2.261436464	0	0.569309691	0	0	0	0	0.787885785	4.886602871	0	1.404945055	2.877355837	0	0	0	2.929129358	2.066972106	0	0	0	0.716687684	0	0.766150161	0	0.766150161	12.56347859	0	0	1.976286871	0	0	0	0	0.949245161	0.776867031	0
模式识别	0.162981361	2.512751334	2.402970297	1.142485196	5.075510204	3.556801311	0.227807732	0	1.140460977	1.881611902	0	1.96795291	0	0	12.07419226	0.745502998	1.905897494	1.564906832	2.984668305	3.533506183	0	2.702436164	0	0	0	0.565886288	0	0	0	0	2.41687737	3.113623828	13.42597087	5.189602446	1.440860215	0	3.573529412	0.708382609	0.613768116	6.689544393	3.373015873	0	0	3.311038961	0	0	10.36200878	0.720042418	0.726015681	0	0	4.295378151	0	6.904007726	1.391847826	0.905944987	5.292016154	2.68159204	0	0	0	0	0	31.37142857	12.87169811	0	0.905944987	20.66897347	0.934828375	0	10.61290323	5.149396378	0.934828375	0	0	1.125921849	2.641898865	0	2.947080817	0	0	0	1.682526661	2.014389907	0	6.1	0	0	0	0	0	0	0	2.125465839	0	7.182773109	6.337723811	6.203995157	0	0
智慧城市	0.183354031	3.619767656	0	0	0	0	2.183157432	0	2.661075612	0	0	0	0	0	0	0	0	3.651449275	9.948894349	0	0	0	0	0	0	0	0	0	0	5.681767338	7.586309524	5.760204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.957650273	0	0	10.02254902	0	8.95877193	0	8.681972789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.65416667	0	0	0	0	0	10.39227642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.75980392	0	0	11.84722222	0
产品	0.810617821	0.659229209	0.21012987	0.497317085	0	0.167186052	1.230773317	0.401471593	3.905463489	2.557456177	2.990750507	0.468560217	0.456732741	0	2.174435072	2.296955183	0	1.752695652	1.43997155	2.200869565	1.14198783	0.779143933	0.354978962	0.566852058	0	0	2.764897959	0	1.953707261	6.198291641	2.395676692	3.247363375	0	1.049474335	1.066610809	3.436965864	0	0	0	0	0	0.993555317	0	0	2.234210526	0	0	2.741883379	1.637094182	0	1.35303472	3.982469809	0.757953281	2.107946336	1.03266129	0.672152732	0.757953281	4.02238806	5.333780761	0.716409537	3.84887218	0	0.455376344	0	0.880258065	3.935776991	0	0.971537002	0	0	1.066181061	0.930213539	0.693582343	0.62093731	2.506862745	0	0	3.793932667	3.293796207	2.295118674	0	0	6.406972385	0	0.846153846	0	3.68961788	3.793932667	2.749127048	0	2.952710496	2.335611757	0	0	5.190283401	1.297533207	0	1.120721706	0	0
企业	0.713594066	0.556887332	0.110821918	0.349836846	0	0	0.545789358	0	2.582808683	0	3.18866782	0.247117375	0.732675439	0	1.294668634	2.771326362	0	0.300119119	2.328464635	2.341350601	0.80332937	0.410918376	0.376861227	0	0	2.769230769	0	0	0	1.907166659	1.255665025	1.933495076	0	0	1.132814238	0.501084064	0	0	0.483447489	0	0	0	0.571861666	0.634993773	0.581506849	0	0	1.725101626	0	0	4.433347807	3.364212258	0	0.736337419	0	0.713586805	0	1.04692292	0	0	3.04702381	0	0	2.355862069	0	0.814112775	0	1.031426269	1.482831216	0	0	0	0	0	0	0	0	0	5.914915724	0	0	0	2.668835394	0	0.898314015	1.169863014	3.921831593	0	0	0	7.529411765	8.992105263	1.231795242	10.40121581	1.35089568	0	0	1.18980729	1.96091954	0
